latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,total_rooms/population
37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,2.732919254658385
37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,2.9566847147022073
37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,2.9576612903225805
37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,2.283154121863799
37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,2.879646017699115
37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,2.225181598062954
37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,2.3171846435100547
37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,2.6828003457216942
37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,2.1185737976782755
37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,2.288201160541586
37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,2.4197802197802196
37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,2.329122340425532
37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,2.268670309653916
37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,2.017391304347826
37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,2.1806930693069306
37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,1.6068866571018652
37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,2.479192938209332
37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,1.8950617283950617
37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,2.2616161616161614
37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,2.1782608695652175
37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,1.8361858190709046
37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,1.7642626480086114
37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,2.4
37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,1.9788980070339977
37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,2.210735586481113
37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,1.6876971608832807
37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,1.8616144975288302
37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY,1.7223230490018149
37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,1.8408488063660478
37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY,1.8455696202531646
37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY,2.220162224797219
37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,1.8433219178082192
37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,1.8732943469785575
37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,NEAR BAY,2.1949602122015914
37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,NEAR BAY,2.118441971383148
37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY,2.1315789473684212
37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,NEAR BAY,1.8216818642350556
37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY,1.677025527192009
37.83,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,NEAR BAY,2.1335268505079825
37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,NEAR BAY,1.766158315177923
37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY,1.7600422832980973
37.83,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,NEAR BAY,1.8104448742746615
37.84,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,NEAR BAY,1.5432900432900434
